# file...... IEEE_13_ho_magda_biddingDR_transformer_power.csv
# date...... Mon Jan 22 15:16:00 2018
# user...... ubuntu
# host...... (null)
# target.... transformer 27
# trigger... (none)
# interval.. 60
# limit..... 1440
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_out_A.real,power_out_A.imag,power_out_B.real,power_out_B.imag,power_out_C.real,power_out_C.imag,power_losses_A.real,power_losses_A.imag
2000-01-01 00:00:00 UTC,+227259,-146090,+235908,-147755,+140796,-151968,+227257,-146106,+235905,-147772,+140795,-151978,+2.41864,+16.0676
2000-01-01 00:01:00 UTC,+227109,-146101,+235564,-147771,+140797,-151965,+227107,-146117,+235562,-147788,+140796,-151975,+2.4165,+16.0533
2000-01-01 00:02:00 UTC,+226960,-146109,+235482,-147771,+140716,-151968,+226957,-146125,+235479,-147788,+140715,-151977,+2.41433,+16.0389
2000-01-01 00:03:00 UTC,+226672,-146124,+235183,-147783,+140469,-151974,+226670,-146140,+235181,-147800,+140468,-151983,+2.41017,+16.0112
2000-01-01 00:04:00 UTC,+221691,-146430,+225163,-148492,+140191,-151866,+221688,-146446,+225161,-148508,+140190,-151875,+2.33942,+15.5395
2000-01-01 00:05:00 UTC,+216855,-146656,+220202,-148581,+135391,-152015,+216852,-146671,+220200,-148597,+135389,-152024,+2.27162,+15.0875
2000-01-01 00:06:00 UTC,+193276,-147919,+205484,-149067,+135475,-151874,+193274,-147932,+205482,-149081,+135473,-151883,+1.96477,+13.0418
2000-01-01 00:07:00 UTC,+188578,-148036,+190709,-149834,+130045,-151952,+188577,-148049,+190707,-149847,+130044,-151961,+1.90672,+12.6548
2000-01-01 00:08:00 UTC,+183817,-148135,+176272,-150424,+120582,-152172,+183815,-148147,+176270,-150435,+120580,-152180,+1.84918,+12.2712
2000-01-01 00:09:00 UTC,+173865,-148683,+171734,-150429,+115617,-152294,+173863,-148694,+171732,-150441,+115616,-152302,+1.73708,+11.5238
2000-01-01 00:10:00 UTC,+159325,-149475,+166069,-150600,+110577,-152382,+159323,-149486,+166067,-150611,+110576,-152390,+1.585,+10.51
2000-01-01 00:11:00 UTC,+154557,-149645,+165945,-150540,+106073,-152529,+154556,-149655,+165943,-150552,+106072,-152537,+1.53729,+10.1919
2000-01-01 00:12:00 UTC,+152507,-147820,+161024,-150628,+105948,-152519,+152506,-147830,+161022,-150639,+105947,-152527,+1.4986,+9.93401
2000-01-01 00:13:00 UTC,+152428,-147786,+145953,-151348,+105924,-152398,+152427,-147796,+145952,-151357,+105923,-152405,+1.49748,+9.92651
2000-01-01 00:14:00 UTC,+151774,-147892,+140939,-151626,+105854,-152350,+151772,-147902,+140938,-151635,+105853,-152357,+1.49194,+9.88961
2000-01-01 00:15:00 UTC,+151048,-147926,+140640,-151631,+105622,-152356,+151047,-147936,+140639,-151641,+105621,-152363,+1.48503,+9.84352
2000-01-01 00:16:00 UTC,+147467,-149933,+140518,-151582,+100360,-152596,+147466,-149943,+140517,-151592,+100359,-152604,+1.46948,+9.73984
2000-01-01 00:17:00 UTC,+147190,-149940,+140389,-151583,+99789.8,-152616,+147189,-149950,+140388,-151593,+99788.7,-152623,+1.46685,+9.72235
2000-01-01 00:18:00 UTC,+152438,-149606,+139899,-151675,+99735.8,-152624,+152437,-149616,+139898,-151685,+99734.7,-152632,+1.51544,+10.0463
2000-01-01 00:19:00 UTC,+152319,-149608,+139651,-151684,+99350.3,-152635,+152318,-149618,+139650,-151693,+99349.2,-152642,+1.51426,+10.0384
2000-01-01 00:20:00 UTC,+152135,-149612,+134619,-151863,+99195.8,-152599,+152134,-149622,+134617,-151873,+99194.7,-152606,+1.51245,+10.0263
2000-01-01 00:21:00 UTC,+159750,-147264,+134092,-151968,+98909.1,-152616,+159749,-147275,+134090,-151977,+98908,-152623,+1.56783,+10.3955
2000-01-01 00:22:00 UTC,+159611,-147270,+133860,-151979,+98865.2,-152615,+159609,-147280,+133859,-151988,+98864.1,-152623,+1.56642,+10.3861
2000-01-01 00:23:00 UTC,+149560,-147833,+133581,-151870,+98694.7,-152612,+149558,-147843,+133579,-151879,+98693.6,-152619,+1.46935,+9.73902
2000-01-01 00:24:00 UTC,+145001,-148032,+133110,-151834,+98452.3,-152619,+145000,-148042,+133109,-151843,+98451.2,-152626,+1.42698,+9.45653
2000-01-01 00:25:00 UTC,+155415,-145269,+185409,-136417,+135662,-142074,+155413,-145279,+185407,-136428,+135660,-142082,+1.50348,+9.96652
2000-01-01 00:26:00 UTC,+147152,-147611,+185411,-136330,+135584,-142049,+147151,-147621,+185409,-136342,+135583,-142058,+1.44361,+9.56743
2000-01-01 00:27:00 UTC,+147013,-147615,+189471,-136138,+135096,-142116,+147012,-147625,+189469,-136150,+135094,-142125,+1.44231,+9.55872
2000-01-01 00:28:00 UTC,+146663,-147631,+189265,-136147,+134993,-142122,+146661,-147641,+189263,-136159,+134992,-142131,+1.43906,+9.53708
2000-01-01 00:29:00 UTC,+135894,-150402,+136231,-151630,+97258.4,-152682,+135893,-150411,+136229,-151639,+97257.4,-152689,+1.36591,+9.04937
2000-01-01 00:30:00 UTC,+135740,-150407,+135921,-151643,+96962.1,-152690,+135738,-150416,+135920,-151652,+96961,-152697,+1.36456,+9.04043
2000-01-01 00:31:00 UTC,+143549,-148087,+135670,-151733,+96459.2,-152720,+143547,-148096,+135669,-151742,+96458.1,-152727,+1.41368,+9.3679
2000-01-01 00:32:00 UTC,+147598,-147906,+131124,-151945,+96242.5,-152684,+147597,-147916,+131123,-151954,+96241.4,-152692,+1.45083,+9.6155
2000-01-01 00:33:00 UTC,+143169,-148101,+130679,-151909,+96161.9,-152690,+143168,-148110,+130678,-151918,+96160.8,-152697,+1.41023,+9.34488
2000-01-01 00:34:00 UTC,+142234,-148239,+130474,-151908,+96101,-152688,+142233,-148249,+130473,-151917,+96099.9,-152695,+1.40278,+9.2952
2000-01-01 00:35:00 UTC,+146930,-147944,+130203,-151981,+96052.6,-152696,+146929,-147953,+130202,-151989,+96051.5,-152703,+1.4447,+9.57467
2000-01-01 00:36:00 UTC,+476477,-43258.5,+454374,-49564.8,+325850,-86252.4,+476469,-43308.9,+454368,-49610.8,+325847,-86277.4,+7.56374,+50.3683
2000-01-01 00:37:00 UTC,+468114,-46131.7,+454267,-49495.7,+325688,-86157.5,+468107,-46180.4,+454260,-49541.7,+325684,-86182.5,+7.31156,+48.687
2000-01-01 00:38:00 UTC,+137961,-150224,+129825,-151897,+95632,-152697,+137960,-150234,+129824,-151906,+95631,-152705,+1.38282,+9.16216
2000-01-01 00:39:00 UTC,+137664,-150237,+129621,-151902,+95403.2,-152707,+137663,-150246,+129619,-151911,+95402.1,-152714,+1.38024,+9.14495
2000-01-01 00:40:00 UTC,+137261,-150255,+129450,-151906,+95231.1,-152711,+137260,-150264,+129448,-151915,+95230,-152719,+1.37676,+9.12175
2000-01-01 00:41:00 UTC,+241922,-119939,+306622,-98386.9,+218998,-117221,+241919,-119955,+306619,-98409.7,+218996,-117234,+2.41608,+16.0505
2000-01-01 00:42:00 UTC,+236818,-120338,+306219,-98355.9,+218838,-117193,+236815,-120353,+306216,-98378.7,+218836,-117207,+2.3386,+15.534
2000-01-01 00:43:00 UTC,+136586,-150277,+128765,-151923,+94697.1,-152710,+136585,-150286,+128763,-151932,+94696,-152717,+1.37088,+9.08256
2000-01-01 00:44:00 UTC,+135659,-150474,+133165,-151685,+99069.2,-152541,+135658,-150483,+133164,-151694,+99068.1,-152548,+1.36452,+9.0401
2000-01-01 00:45:00 UTC,+135304,-150491,+132847,-151695,+98995.1,-152540,+135303,-150500,+132845,-151704,+98994,-152547,+1.36151,+9.02006
