# file...... Inverter1.csv
# date...... Tue Jan  9 14:09:31 2018
# user...... ubuntu
# host...... (null)
# target.... inverter 15
# trigger... (none)
# interval.. 1
# limit..... -2147483648
# timestamp,V_In,I_In,VA_In,VA_Out,phaseA_V_Out,phaseB_V_Out,phaseC_V_Out,phaseA_I_Out,phaseB_I_Out,phaseC_I_Out,power_A,power_B,power_C,P_Out,Q_Out,power_in,rated_power
2018-01-09 12:09:28 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739047-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:09:29 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:09:30 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:09:31 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:09:32 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:09:33 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:09:34 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:09:35 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:09:36 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
2018-01-09 12:09:37 UTC,+27.1997+0j,+14.4913+0j,+394.159+0j,+354.743+0j,+240-120d,+120-120d,+120-120d,-0.739043-1.28007j,+0+0j,+0+0j,+354.743+0j,+0+0i,+0+0i,+0,+0,+0,+0
