# file...... PV1.csv
# date...... Tue Jan  9 12:12:41 2018
# user...... ubuntu
# host...... (null)
# target.... solar 17
# trigger... (none)
# interval.. 1
# limit..... -2147483648
# timestamp,rated_power,P_Out,V_Out,I_Out,VA_Out
2018-01-09 10:12:39 UTC,+8361.18,+0+0j,+27.205+0j,+11.8865+0j,+323.373+0j
2018-01-09 10:12:40 UTC,+8361.18,+0+0j,+27.205+0j,+11.8865+0j,+323.373+0j
2018-01-09 10:12:41 UTC,+8361.18,+0+0j,+27.205+0j,+11.8865+0j,+323.373+0j
2018-01-09 10:12:42 UTC,+8361.18,+0+0j,+27.205+0j,+11.8865+0j,+323.373+0j
2018-01-09 10:12:43 UTC,+8361.18,+0+0j,+27.205+0j,+11.8865+0j,+323.373+0j
2018-01-09 10:12:44 UTC,+8361.18,+0+0j,+27.205+0j,+11.8865+0j,+323.373+0j
2018-01-09 10:12:45 UTC,+8361.18,+0+0j,+27.205+0j,+11.8865+0j,+323.373+0j
2018-01-09 10:12:46 UTC,+8361.18,+0+0j,+27.205+0j,+11.8865+0j,+323.373+0j
2018-01-09 10:12:47 UTC,+8361.18,+0+0j,+27.205+0j,+11.8865+0j,+323.373+0j
2018-01-09 10:12:48 UTC,+8361.18,+0+0j,+27.205+0j,+11.8865+0j,+323.373+0j
2018-01-09 10:12:49 UTC,+8361.18,+0+0j,+27.205+0j,+11.8865+0j,+323.373+0j
2018-01-09 10:12:50 UTC,+8361.18,+0+0j,+27.205+0j,+11.8865+0j,+323.373+0j
