# file...... consumption_outputs/consumption.csv
# date...... Thu Jan 25 11:23:24 2018
# user...... ubuntu
# host...... (null)
# group..... class=triplex_meter
# trigger... (none)
# interval.. -1
# limit..... 0
# property.. timestamp,sum(measured_real_power), sum(measured_reactive_power)
2018-01-01 00:00:00 PST,+552945,+355657
2018-01-01 00:00:01 PST,+426400,+298092
2018-01-01 00:02:14 PST,+426366,+298101
2018-01-01 00:02:15 PST,+426368,+298093
2018-01-01 00:02:58 PST,+422744,+298208
2018-01-01 00:02:59 PST,+422809,+298120
2018-01-01 00:03:30 PST,+419143,+298229
2018-01-01 00:03:31 PST,+419217,+298135
2018-01-01 00:03:39 PST,+415545,+298238
2018-01-01 00:03:40 PST,+411892,+298266
2018-01-01 00:03:41 PST,+408322,+298297
2018-01-01 00:03:42 PST,+408384,+298214
2018-01-01 00:04:05 PST,+404715,+298290
2018-01-01 00:04:06 PST,+404780,+298239
2018-01-01 00:04:13 PST,+401050,+298359
2018-01-01 00:04:14 PST,+401114,+298278
2018-01-01 00:04:17 PST,+397475,+298382
2018-01-01 00:04:18 PST,+397535,+298305
2018-01-01 00:04:28 PST,+390125,+298485
2018-01-01 00:04:29 PST,+390244,+298368
2018-01-01 00:05:00 PST,+382709,+295414
2018-01-01 00:05:01 PST,+381351,+293198
2018-01-01 00:05:19 PST,+377779,+293296
2018-01-01 00:05:20 PST,+377835,+293225
2018-01-01 00:05:21 PST,+377835,+293224
2018-01-01 00:05:28 PST,+374256,+293318
2018-01-01 00:05:29 PST,+374310,+293251
2018-01-01 00:05:30 PST,+370741,+293349
2018-01-01 00:05:31 PST,+370797,+293278
2018-01-01 00:05:49 PST,+367217,+293357
2018-01-01 00:05:50 PST,+367280,+293305
2018-01-01 00:05:56 PST,+363682,+293401
2018-01-01 00:05:57 PST,+360146,+293415
2018-01-01 00:05:58 PST,+360207,+293366
2018-01-01 00:06:01 PST,+356658,+293466
2018-01-01 00:06:02 PST,+356732,+293380
2018-01-01 00:06:04 PST,+353146,+293484
2018-01-01 00:06:05 PST,+353199,+293416
2018-01-01 00:06:07 PST,+349611,+293502
2018-01-01 00:06:08 PST,+349661,+293442
2018-01-01 00:06:15 PST,+346070,+293513
2018-01-01 00:06:16 PST,+346128,+293468
2018-01-01 00:06:17 PST,+346128,+293469
2018-01-01 00:06:18 PST,+346128,+293468
2018-01-01 00:06:19 PST,+346128,+293469
2018-01-01 00:06:20 PST,+346128,+293468
2018-01-01 00:06:26 PST,+342606,+293579
2018-01-01 00:06:27 PST,+342686,+293487
2018-01-01 00:06:28 PST,+339153,+293596
2018-01-01 00:06:29 PST,+339234,+293503
2018-01-01 00:06:34 PST,+341914,+294098
2018-01-01 00:06:35 PST,+341875,+294145
2018-01-01 00:06:56 PST,+338224,+294174
2018-01-01 00:06:57 PST,+338277,+294160
2018-01-01 00:06:58 PST,+334620,+294184
2018-01-01 00:06:59 PST,+334671,+294175
2018-01-01 00:07:21 PST,+331099,+294270
2018-01-01 00:07:22 PST,+331152,+294202
2018-01-01 00:07:24 PST,+327622,+294306
2018-01-01 00:07:25 PST,+327698,+294221
2018-01-01 00:07:28 PST,+320553,+294388
2018-01-01 00:07:29 PST,+320686,+294262
2018-01-01 00:07:37 PST,+317074,+294321
2018-01-01 00:07:38 PST,+317128,+294287
2018-01-01 00:07:43 PST,+313551,+294379
2018-01-01 00:07:44 PST,+313602,+294314
2018-01-01 00:07:53 PST,+310013,+294413
2018-01-01 00:07:54 PST,+310062,+294350
2018-01-01 00:08:09 PST,+306446,+294405
2018-01-01 00:08:10 PST,+306497,+294375
2018-01-01 00:08:12 PST,+302891,+294437
2018-01-01 00:08:13 PST,+302945,+294401
2018-01-01 00:08:18 PST,+299333,+294459
2018-01-01 00:08:19 PST,+299384,+294428
2018-01-01 00:08:26 PST,+302105,+295077
2018-01-01 00:08:27 PST,+298478,+295170
2018-01-01 00:08:28 PST,+298529,+295111
2018-01-01 00:08:30 PST,+294968,+295202
2018-01-01 00:08:31 PST,+295039,+295125
2018-01-01 00:08:35 PST,+291498,+295222
2018-01-01 00:08:36 PST,+291570,+295144
2018-01-01 00:08:47 PST,+287944,+295194
2018-01-01 00:08:48 PST,+287993,+295169
2018-01-01 00:09:27 PST,+284444,+295265
2018-01-01 00:09:28 PST,+284517,+295184
2018-01-01 00:10:03 PST,+280898,+295237
2018-01-01 00:10:04 PST,+280947,+295211
2018-01-01 00:10:11 PST,+278259,+294605
2018-01-01 00:10:12 PST,+278294,+294569
2018-01-01 00:10:13 PST,+278293,+294569
2018-01-01 00:10:16 PST,+274739,+294660
2018-01-01 00:10:17 PST,+274809,+294584
2018-01-01 00:10:20 PST,+271212,+294664
2018-01-01 00:10:21 PST,+271260,+294610
2018-01-01 00:10:34 PST,+274860,+294525
2018-01-01 00:10:35 PST,+274809,+294584
2018-01-01 00:10:56 PST,+271216,+294680
