# file...... meters_outputs/meter645.csv
# date...... Thu Jan 25 11:23:24 2018
# user...... ubuntu
# host...... (null)
# target.... meter 57
# trigger... (none)
# interval.. 1
# limit..... -2147483648
# timestamp,measured_angle_A, measured_angle_B, measured_angle_C, measured_frequency_A, measured_frequency_B, measured_frequency_C, measured_frequency, measured_power.real, measured_power.imag, measured_power_A.real, measured_power_A.imag, measured_power_B.real, measured_power_B.imag, measured_power_C.real, measured_power_C.imag
2018-01-01 00:00:00 PST,+0,+0,+0,+60,+60,+60,+60,+201126,+113620,+0,+0,+96717.1,+56786.9,+104409,+56832.6
2018-01-01 00:00:01 PST,+0,+0,+0,+60,+60,+60,+60,+201126,+113620,+0,+0,+96717.1,+56786.9,+104409,+56832.6
2018-01-01 00:00:02 PST,+0,+0,+0,+60,+60,+60,+60,+201126,+113620,+0,+0,+96717.1,+56786.9,+104409,+56832.6
2018-01-01 00:00:03 PST,+0,+0,+0,+60,+60,+60,+60,+201126,+113620,+0,+0,+96717.1,+56786.9,+104409,+56832.6
2018-01-01 00:00:04 PST,+0,+0,+0,+60,+60,+60,+60,+201126,+113620,+0,+0,+96717.1,+56786.9,+104409,+56832.6
2018-01-01 00:00:05 PST,+0,+0,+0,+60,+60,+60,+60,+201126,+113620,+0,+0,+96717.1,+56786.9,+104409,+56832.6
2018-01-01 00:00:06 PST,+0,+0,+0,+60,+60,+60,+60,+201126,+113620,+0,+0,+96717.1,+56786.9,+104409,+56832.6
2018-01-01 00:00:07 PST,+0,+0,+0,+60,+60,+60,+60,+201126,+113620,+0,+0,+96717.1,+56786.9,+104409,+56832.6
2018-01-01 00:00:08 PST,+0,+0,+0,+60,+60,+60,+60,+201126,+113620,+0,+0,+96717.1,+56786.9,+104409,+56832.6
2018-01-01 00:00:09 PST,+0,+0,+0,+60,+60,+60,+60,+201126,+113620,+0,+0,+96717.1,+56786.9,+104409,+56832.6
2018-01-01 00:00:10 PST,+0,+0,+0,+60,+60,+60,+60,+201126,+113620,+0,+0,+96717.1,+56786.9,+104409,+56832.6
2018-01-01 00:00:11 PST,+0,+0,+0,+60,+60,+60,+60,+201126,+113620,+0,+0,+96717.1,+56786.9,+104409,+56832.6
2018-01-01 00:00:12 PST,+0,+0,+0,+60,+60,+60,+60,+201126,+113620,+0,+0,+96717.1,+56786.9,+104409,+56832.6
2018-01-01 00:00:13 PST,+0,+0,+0,+60,+60,+60,+60,+201126,+113620,+0,+0,+96717.1,+56786.9,+104409,+56832.6
2018-01-01 00:00:14 PST,+0,+0,+0,+60,+60,+60,+60,+201126,+113620,+0,+0,+96717.1,+56786.9,+104409,+56832.6
2018-01-01 00:00:15 PST,+0,+0,+0,+60,+60,+60,+60,+201126,+113620,+0,+0,+96717.1,+56786.9,+104409,+56832.6
2018-01-01 00:00:16 PST,+0,+0,+0,+60,+60,+60,+60,+201126,+113620,+0,+0,+96717.1,+56786.9,+104409,+56832.6
2018-01-01 00:00:17 PST,+0,+0,+0,+60,+60,+60,+60,+201126,+113620,+0,+0,+96717.1,+56786.9,+104409,+56832.6
2018-01-01 00:00:18 PST,+0,+0,+0,+60,+60,+60,+60,+201126,+113620,+0,+0,+96717.1,+56786.9,+104409,+56832.6
