# file...... IEEE_13_Node_With_Houses.csv
# date...... Thu Jan 25 11:45:32 2018
# user...... ubuntu
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 60
# timestamp,trip_meter1:measured_real_power,trip_meter2:measured_real_power,trip_meter3:measured_real_power,trip_meter4:measured_real_power,trip_meter5:measured_real_power,trip_meter6:measured_real_power,trip_meter7:measured_real_power,trip_meter8:measured_real_power,trip_meter9:measured_real_power,trip_meter10:measured_real_power,trip_meter11:measured_real_power,trip_meter12:measured_real_power,trip_meter13:measured_real_power,trip_meter14:measured_real_power,trip_meter15:measured_real_power
1999-12-31 16:00:00 EST,+46078.2,+10158.4,+9446.01,+9956.99,+56880.2,+58225.4,+59914.9,+45244,+42872.8,+43059,+65918.5,+63625.6,+62412.2,+52964,+43583.7
1999-12-31 16:01:00 EST,+46054.7,+10158.4,+9446.56,+9955.51,+56887.9,+58208.8,+59923.3,+45232.3,+42874.1,+46713.4,+65937.3,+63589,+62414.3,+52978.2,+47145.4
1999-12-31 16:02:00 EST,+46006.3,+10158.6,+9447.66,+9952.49,+56903.4,+58175.3,+59940.1,+45208.6,+46490,+50364.3,+65974.9,+67060.3,+62418.7,+53006.9,+50667.2
1999-12-31 16:03:00 EST,+45976.9,+10160.7,+9446.93,+9950.59,+56893.2,+58154.2,+59929.1,+45193.7,+46522.4,+50403.3,+65951.8,+70546.3,+62466,+52987,+54196.1
1999-12-31 16:04:00 EST,+49461.1,+10160.9,+9446.8,+9947.81,+60417.7,+58126.5,+59918.8,+45174.1,+49197,+54062.5,+65959.5,+73979.9,+62481.1,+52991.2,+57683
1999-12-31 16:05:00 EST,+48043,+10031,+9487.01,+9865.05,+64605.7,+57256.2,+60524.2,+44557.7,+47330.4,+54840.5,+63596.4,+74766.7,+56407.9,+54089.8,+55859.2
1999-12-31 16:06:00 EST,+48010.4,+10031.3,+9488.29,+9862.55,+61056.1,+60668,+60553.9,+41081,+50710.5,+54836.8,+59897.9,+77314.6,+56050.4,+57864,+55818.2
1999-12-31 16:07:00 EST,+44628.6,+10033.9,+9489.61,+9862.26,+64659.1,+60664.8,+57001.5,+41078.1,+48117.6,+51483.9,+52448.7,+73947.8,+56092.9,+54150.4,+55811.8
1999-12-31 16:08:00 EST,+44619.9,+10028.7,+9493.73,+9862.09,+63800.3,+60670.6,+57063.4,+37618.4,+54793.8,+54794.3,+48779,+67211.6,+56017.9,+54260.1,+55801.1
1999-12-31 16:09:00 EST,+41282.4,+10028.3,+9494.61,+9865.18,+63833.6,+57263.6,+49912.7,+37634,+54777.6,+51387,+45010.9,+61298.4,+52607.1,+58025.1,+55875.2
